5a8b57f25542995d1e6f1371	Were Scott Derrickson and Ed Wood of the same nationality?
5a8c7595554299585d9e36b6	What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?
5a85ea095542994775f606a8	What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?
5adbf0a255429947ff17385a	Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?
5a8e3ea95542995a26add48d	The director of the romantic comedy "Big Stone Gap" is based in what New York city?
5abd94525542992ac4f382d2	2014 S/S is the debut album of a South Korean boy group that was formed by who?
5a85b2d95542997b5ce40028	Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?
5a87ab905542996e4f3088c1	The arena where the Lewiston Maineiacs played their home games can seat how many people?
5a7bbb64554299042af8f7cc	Who is older, Annie Morton or Terry Richardson?
5a8db19d5542994ba4e3dd00	Are Local H and For Against both from the United States?
5a7166395542994082a3e814	What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?
5a877e5d5542993e715abf7d	What screenwriter with credits for "Evolution" co-wrote a film starring Nicolas Cage and Téa Leoni?
5ab3b0bf5542992ade7c6e39	What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?
5ab56e32554299637185c594	Are Random House Tower and 888 7th Avenue both used for real estate?
5ab6d09255429954757d337d	The football manager who recruited David Beckham managed Manchester United during what timeframe?
5a75e05c55429976ec32bc5f	Brown State Fishing Lake is in a country that has a population of how many inhabitants ?
5ab3e45655429976abd1bcd4	The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?
5ab29c24554299449642c932	Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?
5ae0d4c9554299603e418468	Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?
5a8133725542995ce29dcbdb	Which writer was from England, Henry Roth or Robert Erskine Childers?
5ae7a8175542993210983ed8	Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?
5ae6050f55429929b0807a5e	This singer of A Rather Blustery Day also voiced what hedgehog?
5adddccd5542997dc7907069	Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?
5ae2070a5542994d89d5b313	Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?
5ae22b8d554299234fd0440f	What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?
5a722b8655429971e9dc9329	Who was the writer of These Boots Are Made for Walkin' and who died in 2007?
5adf37a95542995ec70e8f97	The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?
5abd259d55429924427fcf1a	Are both Dictyosperma, and Huernia described as a genus?
5a828c8355429966c78a6a50	Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?
5a8a3e745542996c9b8d5e70	What is the name for the adventure in "Tunnels and Trolls", a game designed by Ken St. Andre?
5ac23ff0554299636651994d	When was Poison's album "Shut Up, Make Love" released?
5ae4a3265542995ad6573de5	Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?
5ae0361155429925eb1afc2c	Which  French ace pilot and adventurer fly L'Oiseau Blanc
5abc0a5d5542993f40c73c64	Are Freakonomics and In the Realm of the Hackers both American documentaries?
5a7cc50e554299452d57ba3e	Which band, Letters to Cleo or Screaming Trees, had more members?
